id,afterdiscount,beforediscount,discount,productcompanyname,productimage,productname
1,288,371,22,"PL INDUSTRIES",https://cdn.shopify.com/s/files/1/0722/2059/files/7_acc0c3e3-cdc8-4a84-bd36-e46750a9148b.webp?v=1689403931&width=256,"BIOVITA BIOFER"
2,777,840,8,"TATA RALLIS",https://cdn.shopify.com/s/files/1/0722/2059/files/Ralliigold-small.png?v=1715000135&width=256,"RALLIGOLD GR"
3,220,310,29,MULTIPLEX,https://cdn.shopify.com/s/files/1/0722/2059/products/1_1_af4ac476-03ec-41a8-a6bb-633294fec8e3.webp?v=1671454262&width=256,"NALPAK LIQUID"
4,459,999,54,"JAIPUR BIO",https://cdn.shopify.com/s/files/1/0722/2059/files/6.-Myco-Gold---F_LahariPeddiReddy.png?v=1729079840&width=256,"MYCA GOLD"
5,439,999,56,"JAIPUR BIO",https://cdn.shopify.com/s/files/1/0722/2059/files/2.-Azo---F_LahariPeddiReddy.png?v=1729079699&width=256,"Samridhi Azotobacter"
6,550,899,39,"ESSENTIAL BIO",https://cdn.shopify.com/s/files/1/0722/2059/files/Untitleddesign-2024-10-22T131749.516_AkanshaSingh.png?v=1730116477&width=256,"EBS KMB POTASH"
7,549,850,35,"JAIPUR BIO",https://cdn.shopify.com/s/files/1/0722/2059/files/16.-Myco-Gold-4-kg_2__JahanaviRamesh.png?v=1733398510&width=256,"MYCO GOLD"
8,198,208,5,"AMRUTH ORGANIC",https://cdn.shopify.com/s/files/1/0722/2059/products/ADVENE.jpg?v=1601729528&width=256,"AMRUTH ADVEN"
9,439,999,56,"jappur bio",https://cdn.shopify.com/s/files/1/0722/2059/files/1.-Rhizo---F_LahariPeddiReddy.png?v=1729079779&width=256,"Samridhi Rhizobium"
10,240,250,4,"BHUMI AGRO",https://cdn.shopify.com/s/files/1/0722/2059/files/Untitleddesign_50__AkanshaSingh1.webp?v=1719900527&width=256,"MR RAJA"
11,149,190,22,MULTIPLEX,https://cdn.shopify.com/s/files/1/0722/2059/files/multiplex-flower-booster_3828.jpg?v=1736329415&width=256,"Flower MULTI"
12,796,1880,58,"KATYAYANI ORGAN",https://cdn.shopify.com/s/files/1/0722/2059/files/1_3__LahariPeddiReddy.png?v=1716546430&width=256,"HUMIC ACID"
13,299,440,32,MULTIPLEX,https://cdn.shopify.com/s/files/1/0722/2059/products/Liquid_Sulphur-min.png?v=1601732979&width=256,"SULPHUR LIQUID"
14,400,540,26,"MICROBI AGROTECH",https://cdn.shopify.com/s/files/1/0722/2059/products/4.jpg?v=1601731700&width=256,"DR SOIL BIJO"
15,104,150,31,MULTIPLEX,https://cdn.shopify.com/s/files/1/0722/2059/files/3_2615513f-78ea-47ff-8cca-c1b5c6388861.png?v=1689404116&width=256,"KRANTI MICRO N"
16,108,170,36,MULTIPLEX,https://cdn.shopify.com/s/files/1/0722/2059/products/1_14_29550538-a7cd-4a7e-bb89-a7213d3f8c97.webp?v=1672052747&width=256,"GENERAL LIQUID"
17,161,215,25,MULTIPLEX,https://cdn.shopify.com/s/files/1/0722/2059/products/Artboard1copy5-3_1.webp?v=1673947018&width=256,"ALBOR 20 BORON"
18,206,210,2,MULTIPLEX,https://cdn.shopify.com/s/files/1/0722/2059/files/379f818d457d364af9989d5e2feef1b8.png?v=1686568916&width=256,"IRON MICRONUTRIENT"
